time,"Strain_Gauge_7","Strain_Gauge_8","Strain_Gauge_9","Vault_temp"
"2022-12-17 05:50","16581.023567708333","91580.148828125","81747.995703125","21.482206726074217"
"2022-12-17 06:00","16584.054296875","91592.0279296875","81753.611328125","21.61228624979655"
"2022-12-17 06:10","16584.19464518229","91604.32916666666","81760.30110677083","21.730156707763673"
"2022-12-17 06:20","16592.89991861979","91621.39036458333","81771.38704427083","21.725611623128255"
"2022-12-17 06:30","16582.37880859375","91622.53203125","81769.0681640625","21.509586652119953"
"2022-12-17 06:40","16566.636555989582","91591.53196614583","81749.885546875","21.393008550008137"
"2022-12-17 06:50","16563.402294921874","91581.0669921875","81738.6544921875","21.403183301289875"
"2022-12-17 07:00","16566.7232421875","91583.10325520833","81740.84140625","21.394022623697918"
"2022-12-17 07:10","16572.696223958334","91588.096484375","81747.05390625","21.412695439656577"
"2022-12-17 07:20","16580.937451171874","91610.0173828125","81763.87024739584","21.428951772054038"
"2022-12-17 07:30","16577.84881184896","91615.11048177084","81765.77395833333","21.35905583699544"
"2022-12-17 07:40","16565.812923177084","91594.15540364584","81750.00677083334","21.25726381937663"
"2022-12-17 07:50","16564.979410807293","91574.58463541667","81733.57063802083","21.186455663045248"
"2022-12-17 08:00","16571.577229817707","91588.2541015625","81742.09993489583","21.31919225056966"
"2022-12-17 08:10","16570.867919921875","91611.86842447917","81759.13489583334","21.339228947957356"
"2022-12-17 08:20","16568.88935546875","91604.50247395833","81756.4712890625","21.24873161315918"
"2022-12-17 08:30","16564.060384114582","91583.8228515625","81742.01100260417","21.14285348256429"
"2022-12-17 08:40","16557.1912109375","91573.06725260416","81727.77962239583","21.09159278869629"
