Date,p1ex_position,p1ey_position,p1ex_width,p1ey_width
2022-05-04,-0.7975,-0.0097,0.994,1.0997
2022-05-05,-0.7817,-0.0116,0.9931,1.1014
2022-05-06,-0.7932,-0.0042,0.995,1.1006
2022-05-07,-0.7825,-0.0035,0.9944,1.0991
2022-05-09,-0.7826,-0.0129,0.9943,1.1003
2022-05-10,-0.8657,-0.0971,0.9943,1.1004
2022-05-11,-0.8289,-0.0473,0.9949,1.1031
2022-05-12,-0.8273,-0.06,0.9936,1.1003
2022-05-13,-0.7778,-0.0231,0.9947,1.1042
2022-05-20,-0.7714,-0.1106,0.9946,1.0943
2022-05-24,-0.7792,-0.1121,0.9947,1.0888
2022-05-26,-0.7677,-0.0506,0.9957,1.1075
2022-05-30,-0.7707,-0.0456,0.9937,1.1078
2022-05-31,-0.7629,-0.0365,0.9945,1.106
2022-06-02,-0.7594,-0.0348,0.9937,1.1091
2022-06-03,-0.779,-0.0448,0.9949,1.1081
2022-06-04,-0.7716,-0.0301,0.9944,1.1084
2022-06-09,-0.9202,-0.1684,0.9941,1.1094
2022-06-10,-0.7835,-0.0402,0.9947,1.107
2022-06-11,-0.7834,-0.0367,0.9935,1.1065
2022-06-13,-0.7688,-0.0007,0.9938,1.1064
2022-06-14,-1.0143,-0.2056,0.9947,1.1074
2022-06-17,-0.7805,-0.0369,0.9935,1.107
2022-06-20,-0.7831,0.007,1.0389,1.1213
2022-06-29,-0.7818,-0.0409,0.9942,1.1113
2022-06-30,-0.7876,-0.035,0.9925,1.1068
2022-07-01,-0.794,0.0022,0.9949,1.1046
2022-07-04,-0.7771,-0.0578,0.9938,1.1051
2022-07-07,-0.9958,-0.1657,0.9947,1.1062
2022-07-08,-0.7962,0.0192,0.9956,1.0994
2022-07-13,-0.7936,0.0119,0.9958,1.1026
2022-07-15,-0.7992,0.0411,0.996,1.0889
2022-07-18,-0.7871,0.0365,0.9934,1.0982
2022-07-19,-0.7988,0.0316,0.9939,1.0953
2022-07-20,-0.7959,0.0594,0.9954,1.0828
2022-07-21,-0.8014,0.0233,0.994,1.1024
2022-07-22,-0.8297,0.0071,0.9952,1.103
2022-07-26,-0.8064,0.0253,0.9927,1.0985
2022-07-27,-0.8097,0.0211,0.9945,1.1011
2022-08-02,-0.8117,0.0103,0.9962,1.1026
2022-08-17,-0.8077,0.0366,0.9958,1.0954
2022-08-22,-0.8198,-0.001,0.9956,1.1035
2022-08-24,-0.8184,-0.0002,0.9953,1.1053
2022-08-26,-0.8135,-0.0114,0.9968,1.1099
2022-09-06,-0.826,0.0265,0.9975,1.0969
2022-09-10,-0.8268,0.0066,0.998,1.1
2022-09-13,-0.8193,0.0073,1.0007,1.1077
2022-09-15,-0.8259,0.0033,9977,1.107
2022-09-16,-0.8184,0.0123,0.9979,1.1069
2022-09-21,-0.8272,0.0168,0.998,1.102
2022-09-22,-0.8113,0.007,0.9976,1.1063
2022-09-23,-0.8231,0.009,0.9992,1.1053
2022-10-01,-0.8212,0.0492,0.9968,1.0868
2022-10-11,-0.8191,-0.012,0.9985,1.1097
2022-10-14,-0.8186,0.0013,0.9957,1.105
2022-10-15,-0.8958,-0.0951,0.9939,1.1072
2022-10-18,-0.8155,-0.0164,1,1.1108
2022-10-19,-0.8594,-0.0557,0.9973,1.1084
2022-10-20,-0.8172,-0.0053,0.9937,1.1036
2022-10-21,-0.8193,-0.0145,0.9991,1.1102
2022-10-22,-0.8224,-0.0173,0.9972,1.1104
2022-10-26,-0.8328,0.0028,0.9967,1.1079
2022-10-27,-0.8329,0.0169,0.9971,1.1052
2022-10-29,-0.84,0.0404,0.9978,1.1004
2022-11-02,-0.8289,0.0337,0.9963,1.0997
2022-11-03,-0.8269,0.0205,0.9967,1.1035
2022-11-04,-0.914,-0.075,0.9959,1.1002
2022-11-07,-0.8088,0.0137,0.9963,1.1034
2022-11-09,-0.816,-0.0445,0.998,1.1122
2022-11-10,-0.8184,-0.0237,0.9971,1.1094
2022-11-11,-0.8225,0.0053,0.9972,1.1063
2022-11-12,-0.8227,-0.0443,0.9978,1.1106
2022-11-14,-0.8246,-0.019,0.9967,1.11
2022-11-15,-0.8136,-0.0842,0.9988,1.1053
2022-11-16,-0.8167,-0.0429,0.9954,1.1088
2022-11-22,-0.8694,-0.0539,0.9983,1.0949
2022-11-23,-0.8486,-0.0405,1.1001,1.1146
2022-11-24,-1.1058,-0.2327,0.9985,1.1109
2022-11-26,-0.8528,0.0141,0.9976,1.1029
2022-11-28,-0.8891,-0.0286,1,1.1075
